entry_time,entry_price,exit_time,exit_price,size
2022-04-20 11:00:00,437.2,2022-04-20 15:15:00,440.55,50
2022-04-22 11:30:00,445.1,2022-04-26 10:45:00,434.2,50
2022-04-28 09:45:00,432.6,2022-05-04 10:45:00,434.5,50
2022-05-05 11:15:00,432.65,2022-05-10 10:30:00,404.5,50
2022-05-13 09:45:00,399.5,2022-05-17 09:15:00,407.15,50
2022-05-20 10:15:00,418.5,2022-05-25 09:30:00,422.6,50
2022-05-26 14:30:00,419.8,2022-06-07 09:15:00,431.55,50
2022-06-10 15:15:00,428.05,2022-06-14 12:45:00,405.05,50
2022-06-15 10:00:00,412.25,2022-06-21 10:00:00,394.35,50
2022-06-23 09:45:00,401.6,2022-06-28 11:30:00,416.35,50
2022-07-04 09:15:00,413.5,2022-07-05 09:15:00,417.25,50
2022-07-06 14:00:00,413.75,2022-07-11 14:45:00,437.7,50
2022-07-15 10:00:00,433.0,2022-07-20 09:30:00,457.5,50
2022-07-22 09:45:00,455.65,2022-07-22 15:15:00,454.9,50
2022-07-27 13:45:00,442.9,2022-07-28 11:45:00,444.25,50
2022-07-29 09:30:00,450.15,2022-08-04 10:15:00,469.15,50
2022-08-04 14:45:00,466.35,2022-08-08 14:00:00,468.9,50
2022-08-10 13:15:00,467.75,2022-08-12 11:30:00,479.75,50
2022-08-16 09:45:00,481.0,2022-08-16 14:00:00,482.0,50
2022-08-23 15:00:00,461.4,2022-08-26 10:45:00,467.6,50
2022-08-30 10:15:00,466.25,2022-09-09 13:30:00,444.35,50
2022-09-20 09:45:00,439.55,2022-09-22 14:15:00,432.4,50
2022-09-27 13:30:00,402.35,2022-09-30 13:30:00,406.25,50
2022-10-03 12:45:00,401.85,2022-10-04 10:30:00,406.4,50
2022-10-11 12:30:00,395.25,2022-10-13 09:15:00,397.1,50
2022-10-18 09:45:00,403.6,2022-10-21 09:30:00,399.8,50
2022-10-25 09:15:00,409.95,2022-10-28 10:30:00,409.0,50
2022-10-28 14:30:00,409.85,,,50
